VK_user_1,VK_user_2
162225997,15004145
162225997,19543135
162225997,40887670
162225997,62504942
162225997,65274323
162225997,76328508
162225997,84483675
162225997,87903425
162225997,93578401
162225997,101794720
162225997,102624170
162225997,120038146
162225997,128946116
162225997,132716869
162225997,133238913
162225997,133832079
162225997,135527442
162225997,138381556
162225997,139818303
162225997,145598920
162225997,146075397
162225997,151045692
162225997,151665225
162225997,154281651
162225997,165041497
162225997,167138457
162225997,174403750
162225997,174592264
162225997,179255067
162225997,184267947
162225997,191478647
162225997,193420880
162225997,194813265
162225997,196485224
162225997,196493464
162225997,196845383
162225997,196870128
162225997,197038149
162225997,199891666
162225997,202291584
162225997,209486969
162225997,212487510
162225997,214701397
162225997,228701702
162225997,235504506
162225997,236783753
162225997,244614200
162225997,246484858
162225997,270045448
162225997,275926681
162225997,278644443
162225997,284360361
162225997,285026484
162225997,294979032
162225997,300967245
162225997,307036103
162225997,307897864
162225997,313221036
162225997,313510694
162225997,318447613
162225997,333594235
162225997,342433080
162225997,345547828
162225997,375736278
162225997,383087847
162225997,387918157
162225997,439111407
162225997,442490895
162225997,445920621
162225997,448813072
162225997,461814307
162225997,469390487
162225997,471721691
162225997,523418365
162225997,540803533
162225997,613177890
162225997,625056751
162225997,635219072
162225997,647714950
162225997,688646721
162225997,704562314
162225997,707036808
162225997,711876027
162225997,719749827
162225997,731857984
162225997,788918418
162225997,843845301
19543135,115059
19543135,696630
19543135,1082739
19543135,1305463
19543135,1415891
19543135,1855749
19543135,1899207
19543135,2239902
19543135,3140063
19543135,3222612
19543135,3790528
19543135,3875508
19543135,4209204
19543135,5686689
19543135,6093796
19543135,6308302
19543135,6705668
19543135,7931145
19543135,8589073
19543135,8614436
19543135,8623672
19543135,9167173
19543135,10109587
19543135,10158132
19543135,10520992
19543135,10760537
19543135,12109760
19543135,12243339
19543135,13061672
19543135,14134600
19543135,14179802
19543135,15320797
19543135,16027667
19543135,17391650
19543135,17527881
19543135,18744186
19543135,19133546
19543135,19765021
19543135,20140342
19543135,20613511
19543135,20698300
19543135,20752880
19543135,21366144
19543135,21408552
19543135,21763699
19543135,22661921
19543135,22841994
19543135,23363640
19543135,23553906
19543135,24364335
19543135,25005535
19543135,25183045
19543135,25907157
19543135,26124126
19543135,26386605
19543135,27484569
19543135,27993782
19543135,28760858
19543135,29464896
19543135,29503878
19543135,30621819
19543135,31797848
19543135,32517917
19543135,33974240
19543135,34827327
19543135,36453842
19543135,36722768
19543135,37884647
19543135,38283954
19543135,39012234
19543135,39724839
19543135,39945089
19543135,42072494
19543135,42295606
19543135,42917373
19543135,43325252
19543135,44639421
19543135,44722227
19543135,45184099
19543135,45195217
19543135,45710659
19543135,49026844
19543135,50169740
19543135,50318176
19543135,53789439
19543135,53846280
19543135,54709353
19543135,54843769
19543135,56213034
19543135,56305260
19543135,56441672
19543135,56880751
19543135,57198290
19543135,57322038
19543135,58079121
19543135,58362913
19543135,58389258
19543135,58697964
19543135,59194854
19543135,60540362
19543135,60724780
19543135,61164929
19543135,62406680
19543135,63311377
19543135,63633445
19543135,63904749
19543135,65863491
19543135,65866607
19543135,67424858
19543135,68533582
19543135,69965117
19543135,70168313
19543135,71199367
19543135,71828907
19543135,72677510
19543135,72795838
19543135,73060015
19543135,73208051
19543135,73435442
19543135,73558114
19543135,73856900
19543135,74333599
19543135,76131056
19543135,76785862
19543135,77268799
19543135,78122703
19543135,78337510
19543135,79162208
19543135,79890671
19543135,80514175
19543135,81005966
19543135,83513229
19543135,85181381
19543135,85687920
19543135,86101358
19543135,87270270
19543135,87276442
19543135,87309176
19543135,88179544
19543135,91415579
19543135,93932662
19543135,94278989
19543135,95314568
19543135,97647967
19543135,98135635
19543135,98489331
19543135,98648387
19543135,98655396
19543135,99097432
19543135,99871060
19543135,102478076
19543135,102566312
19543135,102733589
19543135,104950102
19543135,105758721
19543135,106673714
19543135,107120583
19543135,109139088
19543135,109173233
19543135,112486141
19543135,112827040
19543135,112990591
19543135,114637752
19543135,115216572
19543135,116428805
19543135,116705210
19543135,118533605
19543135,118909562
19543135,119479796
19543135,120014796
19543135,120408870
19543135,120537435
19543135,122127617
19543135,122993417
19543135,123085238
19543135,123267374
19543135,123793765
19543135,123836235
19543135,132173018
19543135,132291860
19543135,132824045
19543135,132960730
19543135,133379136
19543135,133409204
19543135,133882239
19543135,133884214
19543135,133982881
19543135,134086326
19543135,134230984
19543135,134743591
19543135,134772444
19543135,136610273
19543135,136885595
19543135,137026693
19543135,137153988
19543135,137295967
19543135,137319127
19543135,137467885
19543135,137890854
19543135,137944022
19543135,138187676
19543135,138381556
19543135,138735376
19543135,138944916
19543135,139115419
19543135,139606070
19543135,139675440
19543135,139866819
19543135,140063163
19543135,140099012
19543135,140151555
19543135,140185696
19543135,142274058
19543135,142617413
19543135,143173602
19543135,143454169
19543135,145148384
19543135,145361896
19543135,145444513
19543135,145719676
19543135,146244041
19543135,146381374
19543135,146542976
19543135,149457616
19543135,150302588
19543135,150398460
19543135,150567036
19543135,151125053
19543135,151378392
19543135,151493443
19543135,151665225
19543135,153633132
19543135,153748756
19543135,153962443
19543135,154291669
19543135,155120385
19543135,155866974
19543135,155877015
19543135,156180131
19543135,156391006
19543135,156500737
19543135,157440907
19543135,157590505
19543135,160096280
19543135,161048593
19543135,161110130
19543135,161522314
19543135,162219903
19543135,162225997
19543135,162284238
19543135,162604506
19543135,163033027
19543135,163304231
19543135,164293737
19543135,165116696
19543135,166966946
19543135,168470735
19543135,168885929
19543135,170163071
19543135,170527831
19543135,170606257
19543135,171154383
19543135,176800704
19543135,177183879
19543135,177702643
19543135,178583057
19543135,180493397
19543135,182326611
19543135,184705840
19543135,185261247
19543135,185370472
19543135,187876500
19543135,189502256
19543135,190916361
19543135,193327163
19543135,193696729
19543135,195171293
19543135,196237146
19543135,196485224
19543135,196870128
19543135,196887854
19543135,199462625
19543135,199618117
19543135,200229138
19543135,201170092
19543135,201320375
19543135,201620972
19543135,204283475
19543135,204893899
19543135,205248878
19543135,206011650
19543135,207395507
19543135,207864986
19543135,208654178
19543135,210044139
19543135,211772888
19543135,212323084
19543135,212597616
19543135,212911156
19543135,213559061
19543135,214398220
19543135,215142242
19543135,216232758
19543135,217936521
19543135,218508997
19543135,220623341
19543135,220670484
19543135,221368735
19543135,222382874
19543135,223087344
19543135,223708345
19543135,223907856
19543135,224594950
19543135,225279938
19543135,227101477
19543135,229580215
19543135,229958012
19543135,230115900
19543135,230297108
19543135,230408525
19543135,231225509
19543135,232071107
19543135,232305042
19543135,233981911
19543135,235314115
19543135,235456802
19543135,236448681
19543135,236605265
19543135,238248944
19543135,240094843
19543135,244792272
19543135,246498266
19543135,247730292
19543135,248386754
19543135,251527665
19543135,251701837
19543135,253908219
19543135,254130050
19543135,254407521
19543135,256811891
19543135,257537940
19543135,257932319
19543135,259291336
19543135,260185360
19543135,262294754
19543135,262467506
19543135,263563978
19543135,267418515
19543135,267959897
19543135,267979612
19543135,268573403
19543135,269292208
19543135,269629193
19543135,270982386
19543135,273737316
19543135,274454010
19543135,277242201
19543135,279582471
19543135,280227466
19543135,280998456
19543135,283152402
19543135,285821554
19543135,286286341
19543135,292558724
19543135,292786112
19543135,294424041
19543135,295948598
19543135,298057280
19543135,298076846
19543135,301069093
19543135,301219695
19543135,302163071
19543135,304600833
19543135,304631433
19543135,305092649
19543135,305815707
19543135,307061104
19543135,307102690
19543135,307765894
19543135,307959772
19543135,308592149
19543135,313686209
19543135,318261266
19543135,319485393
19543135,321884868
19543135,322383981
19543135,322519018
19543135,324684776
19543135,326719016
19543135,329737411
19543135,329878923
19543135,330653132
19543135,331380537
19543135,331785395
19543135,334482334
19543135,335321314
19543135,340503926
19543135,340696125
19543135,341716058
19543135,342368941
19543135,342577651
19543135,345636431
19543135,351478596
19543135,353702979
19543135,356125895
19543135,358896705
19543135,359154377
19543135,359794071
19543135,360746306
19543135,361624331
19543135,364329683
19543135,366818698
19543135,367510001
19543135,370047383
19543135,372111995
19543135,372671347
19543135,375368498
19543135,375997243
19543135,379584663
19543135,387258004
19543135,387577101
19543135,391978398
19543135,392583014
19543135,401810807
19543135,403282394
19543135,404752037
19543135,404835517
19543135,405528178
19543135,406220314
19543135,414243230
19543135,415735520
19543135,417214523
19543135,420558650
19543135,422093146
19543135,424307400
19543135,426995539
19543135,439538279
19543135,442137150
19543135,443611102
19543135,444776895
19543135,445433044
19543135,448452640
19543135,451146475
19543135,454239766
19543135,455769475
19543135,461753017
19543135,469290815
19543135,470573844
19543135,484769560
19543135,487683100
19543135,488801953
19543135,492046673
19543135,493410696
19543135,495318552
19543135,498682923
19543135,511469821
19543135,517951177
19543135,521318047
19543135,521625233
19543135,529360817
19543135,533327655
19543135,534899974
19543135,537089792
19543135,538562287
19543135,540188673
19543135,544453424
19543135,553872621
19543135,560120493
19543135,565515594
19543135,576569611
19543135,578966973
19543135,588601677
19543135,589078367
19543135,595370253
19543135,601522938
19543135,601578980
19543135,603857952
19543135,619595653
19543135,633279519
19543135,643108664
19543135,649747742
19543135,661109967
19543135,667549839
19543135,670002796
19543135,682852593
19543135,695870417
19543135,717089370
19543135,717383735
19543135,742293301
19543135,743361166
19543135,744738640
19543135,768783623
19543135,773146225
19543135,799582294
19543135,804880405
19543135,818279979
19543135,836097591
19543135,856565487
40887670,14225215
40887670,21860338
40887670,44007564
40887670,52966597
40887670,79806077
40887670,90372239
40887670,98277010
40887670,101908587
40887670,102403513
40887670,118789293
40887670,128102621
40887670,131623433
40887670,134229970
40887670,135533739
40887670,138948682
40887670,143732374
40887670,146889805
40887670,148063871
40887670,150457783
40887670,150541700
40887670,151428800
40887670,152438538
40887670,154704184
40887670,155178286
40887670,155683052
40887670,155821110
40887670,157902703
40887670,158527963
40887670,159930548
40887670,162225997
40887670,163292649
40887670,163805201
40887670,165111935
40887670,165121432
40887670,168594662
40887670,169291455
40887670,170451695
40887670,173126233
40887670,174895135
40887670,175632850
40887670,176811369
40887670,177688342
40887670,180742253
40887670,181844082
40887670,182212569
40887670,183361222
40887670,184469195
40887670,184795700
40887670,185461629
40887670,186395095
40887670,186409416
40887670,186591592
40887670,187970430
40887670,188688772
40887670,188739705
40887670,190452031
40887670,190457069
40887670,191017887
40887670,191767562
40887670,191872667
40887670,192285123
40887670,192383584
40887670,192740991
40887670,192901098
40887670,192929909
40887670,194287452
40887670,195308779
40887670,196489806
40887670,196720828
40887670,198103966
40887670,201005778
40887670,201449945
40887670,202595471
40887670,203318268
40887670,203797434
40887670,205108323
40887670,206047849
40887670,206101501
40887670,206453050
40887670,208698670
40887670,209479021
40887670,210984131
40887670,212940156
40887670,215885648
40887670,219271566
40887670,219425754
40887670,221217153
40887670,221811488
40887670,224469061
40887670,226061888
40887670,228707640
40887670,228739460
40887670,229744672
40887670,229895433
40887670,231296068
40887670,231350571
40887670,232036927
40887670,232999031
40887670,233013316
